region1,region2,Distance
NZ Auckland,NZ Auckland,0.0005817336
NZ Auckland,NZ Auckland,0.0017434271
NZ Auckland,NZ Auckland,0.0011637213
NZ Auckland,NZ Auckland,0.0023312605
NZ Auckland,NZ Auckland,0.0017505483
NZ Auckland,NZ Auckland,0.0005820722
NZ Auckland,NZ Auckland,0.0017492729
NZ Auckland,NZ Auckland,0.0011655017
NZ Auckland,NZ Auckland,0.0011650771
NZ Auckland,NZ Auckland,0.0017505483
NZ Auckland,NZ Auckland,0.0176945776
NZ Auckland,NZ Auckland,0.0171249844
NZ Auckland,NZ Auckland,0.0182866734
NZ Auckland,NZ Auckland,0.0189211426
NZ Auckland,NZ Auckland,0.0183384739
NZ Auckland,NZ Auckland,0.0176841461
NZ Auckland,NZ Auckland,0.0171047812
NZ Auckland,NZ Auckland,0.0182758915
NZ Auckland,NZ Auckland,0.0189211426
NZ Auckland,NZ Auckland,0.0183384739
NZ Auckland,NZ Auckland,0.0023282929
NZ Auckland,NZ Canterbury,0.0176694743
NZ Auckland,NZ Canterbury,0.0171012326
NZ Auckland,NZ Canterbury,0.0182627372
NZ Auckland,NZ Canterbury,0.0188845224
NZ Auckland,NZ Canterbury,0.0183009932
NZ Auckland,NZ Canterbury,0.0212752591
NZ Auckland,NZ Canterbury,0.0212752591
NZ Auckland,NZ Canterbury,0.0170767354
NZ Auckland,NZ Canterbury,0.0165077969
NZ Auckland,NZ Canterbury,0.0176694743
NZ Auckland,NZ Canterbury,0.0182901946
NZ Auckland,NZ Canterbury,0.0177068383
NZ Auckland,NZ Canterbury,0.0206803546
NZ Auckland,NZ Canterbury,0.0206803546
NZ Canterbury,NZ Canterbury,0.0005813109
NZ Auckland,NZ Canterbury,0.0011634677
NZ Auckland,NZ Canterbury,0.0005824112
NZ Auckland,NZ Canterbury,0.0017454558
NZ Auckland,NZ Canterbury,0.0023312605
NZ Auckland,NZ Canterbury,0.0017492729
NZ Auckland,NZ Canterbury,0.0177050214
NZ Auckland,NZ Canterbury,0.0177050214
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Auckland,NZ Canterbury,0.0011621156
NZ Auckland,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0017434271
NZ Auckland,NZ Canterbury,0.0023312605
NZ Auckland,NZ Canterbury,0.0017492729
NZ Auckland,NZ Canterbury,0.0176945776
NZ Auckland,NZ Canterbury,0.0176737269
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Auckland,NZ Canterbury,0.0017502935
