date1 date2 Distance
1985 1989 0.01816
1985 1990 0.02176
1989 1990 0.01049
1985 1993 0.03150
1989 1993 0.02062
1990 1993 0.01585
1985 1994 0.03215
1989 1994 0.02245
1990 1994 0.01767
1993 1994 0.00639
1985 1999 0.04209
1989 1999 0.03222
1990 1999 0.02677
1993 1999 0.01822
1994 1999 0.01994
1985 2000 0.05954
1989 2000 0.04953
1990 2000 0.04455
1993 2000 0.03739
1994 2000 0.03967
1999 2000 0.02929
1985 2001 0.06085
1989 2001 0.05070
1990 2001 0.04604
1993 2001 0.03887
1994 2001 0.04117
1999 2001 0.03170
2000 2001 0.01669
1985 2002 0.06384
1989 2002 0.05303
1990 2002 0.04866
1993 2002 0.04202
1994 2002 0.04431
1999 2002 0.03506
2000 2002 0.01975
2001 2002 0.01467
1985 2003 0.07486
1989 2003 0.06773
1990 2003 0.06262
1993 2003 0.05479
1994 2003 0.05734
1999 2003 0.04569
2000 2003 0.02648
2001 2003 0.03346
2002 2003 0.03516
1985 2004 0.07577
1989 2004 0.06986
1990 2004 0.06603
1993 2004 0.05766
1994 2004 0.06002
1999 2004 0.04945
2000 2004 0.03033
2001 2004 0.03701
2002 2004 0.03908
2003 2004 0.01209
1985 2005 0.07794
1989 2005 0.07210
1990 2005 0.06792
1993 2005 0.05958
1994 2005 0.06196
1999 2005 0.05243
2000 2005 0.03456
2001 2005 0.04045
2002 2005 0.04209
2003 2005 0.01610
2004 2005 0.00767
