ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016021	integral component of membrane	1307	243	LdBPK_010360.1,LdBPK_010380.1,LdBPK_020200.1,LdBPK_020270.1,LdBPK_020300.1,LdBPK_020310.1,LdBPK_020390.1,LdBPK_020400.1,LdBPK_020540.1,LdBPK_030250.1,LdBPK_030360.1,LdBPK_030450.1,LdBPK_030470.1,LdBPK_030530.1,LdBPK_030630.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040200.1,LdBPK_040220.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_040510.1,LdBPK_040590.1,LdBPK_041030.1,LdBPK_044300.1,LdBPK_044340.1,LdBPK_050930.1,LdBPK_060310.1,LdBPK_060660.1,LdBPK_060880.1,LdBPK_061030.1,LdBPK_070070.1,LdBPK_070600.1,LdBPK_070700.1,LdBPK_070880.1,LdBPK_080530.1,LdBPK_080540.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080620.1,LdBPK_080650.1,LdBPK_080670.1,LdBPK_080710.1,LdBPK_080720.1,LdBPK_080780.1,LdBPK_080790.1,LdBPK_080910.1,LdBPK_090210.1,LdBPK_090280.1,LdBPK_090300.1,LdBPK_090530.1,LdBPK_090840.1,LdBPK_090940.1,LdBPK_091270.1,LdBPK_091400.1,LdBPK_100250.1,LdBPK_100360.1,LdBPK_100420.1,LdBPK_100680.1,LdBPK_110520.1,LdBPK_111080.1,LdBPK_111090.1,LdBPK_111230.1,LdBPK_120220.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120760.1,LdBPK_120770.1,LdBPK_120790.1,LdBPK_131150.1,LdBPK_131160.1,LdBPK_131170.1,LdBPK_131230.1,LdBPK_131430.1,LdBPK_140740.1,LdBPK_140790.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150630.1,LdBPK_160410.1,LdBPK_160480.1,LdBPK_160500.1,LdBPK_160510.1,LdBPK_161030.1,LdBPK_161060.1,LdBPK_170120.1,LdBPK_170130.1,LdBPK_170420.1,LdBPK_170430.1,LdBPK_171170.1,LdBPK_171310.1,LdBPK_171560.1,LdBPK_171590.1,LdBPK_180240.1,LdBPK_180400.1,LdBPK_181530.1,LdBPK_190480.1,LdBPK_190610.1,LdBPK_190760.1,LdBPK_190870.1,LdBPK_191060.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_191390.1,LdBPK_200440.1,LdBPK_200640.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_211920.1,LdBPK_220290.1,LdBPK_220560.1,LdBPK_220760.1,LdBPK_230230.1,LdBPK_230250.1,LdBPK_230270.1,LdBPK_230760.1,LdBPK_230810.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231520.1,LdBPK_231550.1,LdBPK_231700.1,LdBPK_231710.1,LdBPK_240060.1,LdBPK_240340.1,LdBPK_240360.1,LdBPK_240460.1,LdBPK_240580.1,LdBPK_240590.1,LdBPK_240700.1,LdBPK_241290.1,LdBPK_241510.1,LdBPK_241920.1,LdBPK_250480.1,LdBPK_250810.1,LdBPK_250820.1,LdBPK_250930.1,LdBPK_260430.1,LdBPK_261440.1,LdBPK_262210.1,LdBPK_262480.1,LdBPK_262620.1,LdBPK_270830.1,LdBPK_270900.1,LdBPK_271670.1,LdBPK_271830.1,LdBPK_271840.1,LdBPK_271990.1,LdBPK_280270.1,LdBPK_281220.1,LdBPK_281500.1,LdBPK_281510.1,LdBPK_282060.1,LdBPK_282140.1,LdBPK_282670.1,LdBPK_291350.1,LdBPK_291370.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291750.1,LdBPK_292380.1,LdBPK_292740.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300440.1,LdBPK_301480.1,LdBPK_302680.1,LdBPK_310840.1,LdBPK_311120.1,LdBPK_311200.1,LdBPK_311290.1,LdBPK_311490.1,LdBPK_311750.1,LdBPK_311910.1,LdBPK_311950.1,LdBPK_312050.1,LdBPK_312540.1,LdBPK_312750.1,LdBPK_320230.1,LdBPK_320340.1,LdBPK_321100.1,LdBPK_321600.1,LdBPK_321960.1,LdBPK_322440.1,LdBPK_322500.1,LdBPK_323620.1,LdBPK_330100.1,LdBPK_330220.1,LdBPK_330920.1,LdBPK_330940.1,LdBPK_331050.1,LdBPK_331190.1,LdBPK_332140.1,LdBPK_332420.1,LdBPK_332490.1,LdBPK_332760.1,LdBPK_332970.1,LdBPK_333000.1,LdBPK_333330.1,LdBPK_340530.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341050.1,LdBPK_341060.1,LdBPK_341150.1,LdBPK_341270.1,LdBPK_341670.1,LdBPK_341690.1,LdBPK_341700.1,LdBPK_341730.1,LdBPK_342640.1,LdBPK_342750.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_351530.1,LdBPK_351680.1,LdBPK_351830.1,LdBPK_352580.1,LdBPK_352620.1,LdBPK_352830.1,LdBPK_352860.1,LdBPK_352870.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353630.1,LdBPK_353820.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354560.1,LdBPK_360970.1,LdBPK_361020.1,LdBPK_361140.1,LdBPK_362430.1,LdBPK_363790.1,LdBPK_364870.1,LdBPK_364920.1,LdBPK_366230.1,LdBPK_366410.1,LdBPK_366560.1,LdBPK_366790.1,	18.6	1.49	1.9	1.70575573072e-13	1.56076649361e-11	3.12153298722e-11
GO:0031224	intrinsic component of membrane	1307	243	LdBPK_010360.1,LdBPK_010380.1,LdBPK_020200.1,LdBPK_020270.1,LdBPK_020300.1,LdBPK_020310.1,LdBPK_020390.1,LdBPK_020400.1,LdBPK_020540.1,LdBPK_030250.1,LdBPK_030360.1,LdBPK_030450.1,LdBPK_030470.1,LdBPK_030530.1,LdBPK_030630.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040200.1,LdBPK_040220.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_040510.1,LdBPK_040590.1,LdBPK_041030.1,LdBPK_044300.1,LdBPK_044340.1,LdBPK_050930.1,LdBPK_060310.1,LdBPK_060660.1,LdBPK_060880.1,LdBPK_061030.1,LdBPK_070070.1,LdBPK_070600.1,LdBPK_070700.1,LdBPK_070880.1,LdBPK_080530.1,LdBPK_080540.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080620.1,LdBPK_080650.1,LdBPK_080670.1,LdBPK_080710.1,LdBPK_080720.1,LdBPK_080780.1,LdBPK_080790.1,LdBPK_080910.1,LdBPK_090210.1,LdBPK_090280.1,LdBPK_090300.1,LdBPK_090530.1,LdBPK_090840.1,LdBPK_090940.1,LdBPK_091270.1,LdBPK_091400.1,LdBPK_100250.1,LdBPK_100360.1,LdBPK_100420.1,LdBPK_100680.1,LdBPK_110520.1,LdBPK_111080.1,LdBPK_111090.1,LdBPK_111230.1,LdBPK_120220.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120760.1,LdBPK_120770.1,LdBPK_120790.1,LdBPK_131150.1,LdBPK_131160.1,LdBPK_131170.1,LdBPK_131230.1,LdBPK_131430.1,LdBPK_140740.1,LdBPK_140790.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150630.1,LdBPK_160410.1,LdBPK_160480.1,LdBPK_160500.1,LdBPK_160510.1,LdBPK_161030.1,LdBPK_161060.1,LdBPK_170120.1,LdBPK_170130.1,LdBPK_170420.1,LdBPK_170430.1,LdBPK_171170.1,LdBPK_171310.1,LdBPK_171560.1,LdBPK_171590.1,LdBPK_180240.1,LdBPK_180400.1,LdBPK_181530.1,LdBPK_190480.1,LdBPK_190610.1,LdBPK_190760.1,LdBPK_190870.1,LdBPK_191060.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_191390.1,LdBPK_200440.1,LdBPK_200640.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_211920.1,LdBPK_220290.1,LdBPK_220560.1,LdBPK_220760.1,LdBPK_230230.1,LdBPK_230250.1,LdBPK_230270.1,LdBPK_230760.1,LdBPK_230810.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231520.1,LdBPK_231550.1,LdBPK_231700.1,LdBPK_231710.1,LdBPK_240060.1,LdBPK_240340.1,LdBPK_240360.1,LdBPK_240460.1,LdBPK_240580.1,LdBPK_240590.1,LdBPK_240700.1,LdBPK_241290.1,LdBPK_241510.1,LdBPK_241920.1,LdBPK_250480.1,LdBPK_250810.1,LdBPK_250820.1,LdBPK_250930.1,LdBPK_260430.1,LdBPK_261440.1,LdBPK_262210.1,LdBPK_262480.1,LdBPK_262620.1,LdBPK_270830.1,LdBPK_270900.1,LdBPK_271670.1,LdBPK_271830.1,LdBPK_271840.1,LdBPK_271990.1,LdBPK_280270.1,LdBPK_281220.1,LdBPK_281500.1,LdBPK_281510.1,LdBPK_282060.1,LdBPK_282140.1,LdBPK_282670.1,LdBPK_291350.1,LdBPK_291370.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291750.1,LdBPK_292380.1,LdBPK_292740.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300440.1,LdBPK_301480.1,LdBPK_302680.1,LdBPK_310840.1,LdBPK_311120.1,LdBPK_311200.1,LdBPK_311290.1,LdBPK_311490.1,LdBPK_311750.1,LdBPK_311910.1,LdBPK_311950.1,LdBPK_312050.1,LdBPK_312540.1,LdBPK_312750.1,LdBPK_320230.1,LdBPK_320340.1,LdBPK_321100.1,LdBPK_321600.1,LdBPK_321960.1,LdBPK_322440.1,LdBPK_322500.1,LdBPK_323620.1,LdBPK_330100.1,LdBPK_330220.1,LdBPK_330920.1,LdBPK_330940.1,LdBPK_331050.1,LdBPK_331190.1,LdBPK_332140.1,LdBPK_332420.1,LdBPK_332490.1,LdBPK_332760.1,LdBPK_332970.1,LdBPK_333000.1,LdBPK_333330.1,LdBPK_340530.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341050.1,LdBPK_341060.1,LdBPK_341150.1,LdBPK_341270.1,LdBPK_341670.1,LdBPK_341690.1,LdBPK_341700.1,LdBPK_341730.1,LdBPK_342640.1,LdBPK_342750.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_351530.1,LdBPK_351680.1,LdBPK_351830.1,LdBPK_352580.1,LdBPK_352620.1,LdBPK_352830.1,LdBPK_352860.1,LdBPK_352870.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353630.1,LdBPK_353820.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354560.1,LdBPK_360970.1,LdBPK_361020.1,LdBPK_361140.1,LdBPK_362430.1,LdBPK_363790.1,LdBPK_364870.1,LdBPK_364920.1,LdBPK_366230.1,LdBPK_366410.1,LdBPK_366560.1,LdBPK_366790.1,	18.6	1.49	1.9	1.70575573072e-13	1.56076649361e-11	3.12153298722e-11
GO:0016020	membrane	1537	270	LdBPK_010360.1,LdBPK_010380.1,LdBPK_020140.1,LdBPK_020150.1,LdBPK_020180.1,LdBPK_020200.1,LdBPK_020270.1,LdBPK_020300.1,LdBPK_020310.1,LdBPK_020390.1,LdBPK_020400.1,LdBPK_020420.1,LdBPK_020540.1,LdBPK_030250.1,LdBPK_030360.1,LdBPK_030450.1,LdBPK_030470.1,LdBPK_030530.1,LdBPK_030630.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040200.1,LdBPK_040220.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_040510.1,LdBPK_040590.1,LdBPK_041030.1,LdBPK_044300.1,LdBPK_044340.1,LdBPK_050930.1,LdBPK_060090.1,LdBPK_060310.1,LdBPK_060660.1,LdBPK_060880.1,LdBPK_061030.1,LdBPK_070070.1,LdBPK_070600.1,LdBPK_070700.1,LdBPK_070880.1,LdBPK_080530.1,LdBPK_080540.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080620.1,LdBPK_080650.1,LdBPK_080670.1,LdBPK_080710.1,LdBPK_080720.1,LdBPK_080780.1,LdBPK_080790.1,LdBPK_080910.1,LdBPK_090210.1,LdBPK_090280.1,LdBPK_090300.1,LdBPK_090530.1,LdBPK_090840.1,LdBPK_090940.1,LdBPK_091270.1,LdBPK_091400.1,LdBPK_091580.1,LdBPK_100250.1,LdBPK_100360.1,LdBPK_100420.1,LdBPK_100510.1,LdBPK_100680.1,LdBPK_110520.1,LdBPK_111080.1,LdBPK_111090.1,LdBPK_111230.1,LdBPK_120220.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120760.1,LdBPK_120770.1,LdBPK_120790.1,LdBPK_131150.1,LdBPK_131160.1,LdBPK_131170.1,LdBPK_131230.1,LdBPK_131430.1,LdBPK_140740.1,LdBPK_140790.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150630.1,LdBPK_151180.1,LdBPK_160410.1,LdBPK_160480.1,LdBPK_160500.1,LdBPK_160510.1,LdBPK_161030.1,LdBPK_161060.1,LdBPK_161570.1,LdBPK_170120.1,LdBPK_170130.1,LdBPK_170420.1,LdBPK_170430.1,LdBPK_171110.1,LdBPK_171170.1,LdBPK_171310.1,LdBPK_171560.1,LdBPK_171590.1,LdBPK_180240.1,LdBPK_180400.1,LdBPK_181530.1,LdBPK_190100.1,LdBPK_190480.1,LdBPK_190530.1,LdBPK_190610.1,LdBPK_190760.1,LdBPK_190870.1,LdBPK_191060.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_191390.1,LdBPK_200440.1,LdBPK_200640.1,LdBPK_200780.1,LdBPK_211460.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_211920.1,LdBPK_212210.1,LdBPK_220290.1,LdBPK_220560.1,LdBPK_220760.1,LdBPK_230230.1,LdBPK_230250.1,LdBPK_230270.1,LdBPK_230380.1,LdBPK_230760.1,LdBPK_230810.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231520.1,LdBPK_231550.1,LdBPK_231700.1,LdBPK_231710.1,LdBPK_240060.1,LdBPK_240340.1,LdBPK_240360.1,LdBPK_240460.1,LdBPK_240580.1,LdBPK_240590.1,LdBPK_240700.1,LdBPK_241290.1,LdBPK_241510.1,LdBPK_241920.1,LdBPK_250480.1,LdBPK_250680.1,LdBPK_250810.1,LdBPK_250820.1,LdBPK_250930.1,LdBPK_260430.1,LdBPK_261440.1,LdBPK_262210.1,LdBPK_262480.1,LdBPK_262620.1,LdBPK_270830.1,LdBPK_270900.1,LdBPK_271670.1,LdBPK_271830.1,LdBPK_271840.1,LdBPK_271990.1,LdBPK_280270.1,LdBPK_280600.1,LdBPK_281220.1,LdBPK_281500.1,LdBPK_281510.1,LdBPK_282060.1,LdBPK_282140.1,LdBPK_282670.1,LdBPK_290110.1,LdBPK_291320.1,LdBPK_291350.1,LdBPK_291370.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291750.1,LdBPK_292380.1,LdBPK_292740.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300440.1,LdBPK_301480.1,LdBPK_302680.1,LdBPK_310840.1,LdBPK_311120.1,LdBPK_311200.1,LdBPK_311290.1,LdBPK_311490.1,LdBPK_311750.1,LdBPK_311910.1,LdBPK_311950.1,LdBPK_312050.1,LdBPK_312540.1,LdBPK_312750.1,LdBPK_320020.1,LdBPK_320230.1,LdBPK_320340.1,LdBPK_321100.1,LdBPK_321600.1,LdBPK_321960.1,LdBPK_322440.1,LdBPK_322500.1,LdBPK_323620.1,LdBPK_330100.1,LdBPK_330220.1,LdBPK_330280.1,LdBPK_330920.1,LdBPK_330940.1,LdBPK_331050.1,LdBPK_331190.1,LdBPK_332140.1,LdBPK_332420.1,LdBPK_332490.1,LdBPK_332510.1,LdBPK_332760.1,LdBPK_332970.1,LdBPK_333000.1,LdBPK_333060.1,LdBPK_333090.1,LdBPK_333330.1,LdBPK_340530.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341050.1,LdBPK_341060.1,LdBPK_341150.1,LdBPK_341270.1,LdBPK_341670.1,LdBPK_341690.1,LdBPK_341700.1,LdBPK_341730.1,LdBPK_342640.1,LdBPK_342750.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_351530.1,LdBPK_351680.1,LdBPK_351830.1,LdBPK_352580.1,LdBPK_352620.1,LdBPK_352830.1,LdBPK_352860.1,LdBPK_352870.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353630.1,LdBPK_353820.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354560.1,LdBPK_360970.1,LdBPK_361020.1,LdBPK_361140.1,LdBPK_361900.1,LdBPK_362430.1,LdBPK_362570.1,LdBPK_363790.1,LdBPK_364870.1,LdBPK_364920.1,LdBPK_366230.1,LdBPK_366410.1,LdBPK_366560.1,LdBPK_366790.1,	17.6	1.41	1.79	4.91636440047e-12	2.99898228428e-10	8.99694685285e-10
GO:0020016	ciliary pocket	73	26	LdBPK_060030.1,LdBPK_060090.1,LdBPK_091580.1,LdBPK_100680.1,LdBPK_111090.1,LdBPK_120530.1,LdBPK_161570.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_220910.1,LdBPK_240060.1,LdBPK_250680.1,LdBPK_251070.1,LdBPK_261880.1,LdBPK_271080.1,LdBPK_290110.1,LdBPK_310450.1,LdBPK_310890.1,LdBPK_322890.1,LdBPK_333330.1,LdBPK_341270.1,LdBPK_350560.1,LdBPK_354870.1,LdBPK_362570.1,LdBPK_366110.1,LdBPK_367230.1,	35.6	2.86	4.0	2.61918252459e-07	1.198276005e-05	4.79310402e-05
GO:1990900	ciliary pocket collar	8	5	LdBPK_211800.1,LdBPK_240060.1,LdBPK_261880.1,LdBPK_333330.1,LdBPK_367230.1,	62.5	5.02	11.79	0.00119507586351	0.0437397766046	0.218698883023
GO:0060187	cell pole	46	13	LdBPK_050410.1,LdBPK_050850.1,LdBPK_100110.1,LdBPK_110870.1,LdBPK_150810.1,LdBPK_190700.1,LdBPK_211600.1,LdBPK_221150.1,LdBPK_221160.1,LdBPK_313240.1,LdBPK_322750.1,LdBPK_351400.1,LdBPK_366560.1,	28.3	2.27	2.8	0.00309526500745	0.080919070909	0.566433496363
GO:0051286	cell tip	46	13	LdBPK_050410.1,LdBPK_050850.1,LdBPK_100110.1,LdBPK_110870.1,LdBPK_150810.1,LdBPK_190700.1,LdBPK_211600.1,LdBPK_221150.1,LdBPK_221160.1,LdBPK_313240.1,LdBPK_322750.1,LdBPK_351400.1,LdBPK_366560.1,	28.3	2.27	2.8	0.00309526500745	0.080919070909	0.566433496363
GO:0005885	Arp2/3 protein complex	4	3	LdBPK_050290.1,LdBPK_101080.1,LdBPK_180920.1,	75.0	6.02	21.18	0.00697474550543	0.159547303437	1.0
GO:0036064	ciliary basal body	145	28	LdBPK_030110.1,LdBPK_050170.1,LdBPK_050380.1,LdBPK_050850.1,LdBPK_120570.1,LdBPK_130510.1,LdBPK_190380.1,LdBPK_190450.1,LdBPK_191140.1,LdBPK_211600.1,LdBPK_220050.1,LdBPK_250910.1,LdBPK_271880.1,LdBPK_282560.1,LdBPK_282840.1,LdBPK_290200.1,LdBPK_300820.1,LdBPK_310450.1,LdBPK_320390.1,LdBPK_321740.1,LdBPK_322000.1,LdBPK_323650.1,LdBPK_341450.1,LdBPK_351190.1,LdBPK_361550.1,LdBPK_364060.1,LdBPK_365480.1,LdBPK_366260.1,	19.3	1.55	1.71	0.011010252393	0.195278951981	1.0
GO:0005929	cilium	974	143	LdBPK_010520.1,LdBPK_020540.1,LdBPK_030110.1,LdBPK_030730.1,LdBPK_040970.1,LdBPK_050170.1,LdBPK_050380.1,LdBPK_050640.1,LdBPK_050690.1,LdBPK_050850.1,LdBPK_050920.1,LdBPK_060030.1,LdBPK_060090.1,LdBPK_060460.1,LdBPK_061080.1,LdBPK_070170.1,LdBPK_070830.1,LdBPK_090550.1,LdBPK_090810.1,LdBPK_091371.1,LdBPK_091580.1,LdBPK_100680.1,LdBPK_101040.1,LdBPK_101120.1,LdBPK_110390.1,LdBPK_110620.1,LdBPK_111090.1,LdBPK_111320.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120570.1,LdBPK_130510.1,LdBPK_130700.1,LdBPK_130720.1,LdBPK_130810.1,LdBPK_140430.1,LdBPK_150810.1,LdBPK_160160.1,LdBPK_161570.1,LdBPK_170490.1,LdBPK_171300.1,LdBPK_180300.1,LdBPK_181470.1,LdBPK_190360.1,LdBPK_190380.1,LdBPK_190450.1,LdBPK_190530.1,LdBPK_190760.1,LdBPK_191110.1,LdBPK_191140.1,LdBPK_200350.1,LdBPK_211270.1,LdBPK_211520.1,LdBPK_211600.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_212220.1,LdBPK_220050.1,LdBPK_220910.1,LdBPK_221150.1,LdBPK_221160.1,LdBPK_231250.1,LdBPK_240060.1,LdBPK_240370.1,LdBPK_241430.1,LdBPK_250360.1,LdBPK_250430.1,LdBPK_250680.1,LdBPK_250910.1,LdBPK_251070.1,LdBPK_251900.1,LdBPK_261880.1,LdBPK_262620.1,LdBPK_270600.1,LdBPK_270630.1,LdBPK_270900.1,LdBPK_271080.1,LdBPK_271700.1,LdBPK_271880.1,LdBPK_281000.1,LdBPK_281370.1,LdBPK_282560.1,LdBPK_282840.1,LdBPK_290110.1,LdBPK_290200.1,LdBPK_300820.1,LdBPK_310450.1,LdBPK_310890.1,LdBPK_320390.1,LdBPK_321050.1,LdBPK_321370.1,LdBPK_321710.1,LdBPK_321740.1,LdBPK_322000.1,LdBPK_322120.1,LdBPK_322610.1,LdBPK_322890.1,LdBPK_323350.1,LdBPK_323650.1,LdBPK_330400.1,LdBPK_331290.1,LdBPK_331300.1,LdBPK_333320.1,LdBPK_333330.1,LdBPK_340710.1,LdBPK_341240.1,LdBPK_341270.1,LdBPK_341310.1,LdBPK_341450.1,LdBPK_341640.1,LdBPK_341830.1,LdBPK_342360.1,LdBPK_350480.1,LdBPK_350560.1,LdBPK_351190.1,LdBPK_351400.1,LdBPK_352390.1,LdBPK_354260.1,LdBPK_354870.1,LdBPK_354930.1,LdBPK_361460.1,LdBPK_361550.1,LdBPK_361620.1,LdBPK_362130.1,LdBPK_362140.1,LdBPK_362170.1,LdBPK_362570.1,LdBPK_363300.1,LdBPK_363460.1,LdBPK_364060.1,LdBPK_364160.1,LdBPK_364280.1,LdBPK_364410.1,LdBPK_365150.1,LdBPK_365480.1,LdBPK_366110.1,LdBPK_366260.1,LdBPK_366270.1,LdBPK_366430.1,LdBPK_366510.1,LdBPK_366560.1,LdBPK_367190.1,LdBPK_367230.1,	14.7	1.18	1.26	0.013119559529	0.195278951981	1.0
