ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005840	ribosome	326	39	LdBPK_040750.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_131410.1,LdBPK_151530.1,LdBPK_161220.1,LdBPK_211300.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_281050.1,LdBPK_282750.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_311930.1,LdBPK_320460.1,LdBPK_323320.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340910.1,LdBPK_342730.1,LdBPK_350240.1,LdBPK_351890.1,LdBPK_353840.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	12.0	4.88	7.03	1.6493680901e-17	2.49054581605e-15	2.49054581605e-15
GO:0043232	intracellular non-membrane-bounded organelle	1062	63	LdBPK_040750.1,LdBPK_081290.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_130330.1,LdBPK_131410.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_161220.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_212240.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_230050.1,LdBPK_230060.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250990.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_281050.1,LdBPK_282610.1,LdBPK_282750.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_323320.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_342730.1,LdBPK_343280.1,LdBPK_350240.1,LdBPK_350370.1,LdBPK_351890.1,LdBPK_353670.1,LdBPK_353840.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	5.9	2.42	3.67	5.01296470101e-13	2.52319223284e-11	7.56957669853e-11
GO:0043228	non-membrane-bounded organelle	1062	63	LdBPK_040750.1,LdBPK_081290.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_130330.1,LdBPK_131410.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_161220.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_212240.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_230050.1,LdBPK_230060.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250990.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_281050.1,LdBPK_282610.1,LdBPK_282750.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_323320.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_342730.1,LdBPK_343280.1,LdBPK_350240.1,LdBPK_350370.1,LdBPK_351890.1,LdBPK_353670.1,LdBPK_353840.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	5.9	2.42	3.67	5.01296470101e-13	2.52319223284e-11	7.56957669853e-11
GO:0043229	intracellular organelle	2896	100	LdBPK_020230.1,LdBPK_040680.1,LdBPK_040750.1,LdBPK_060120.1,LdBPK_081290.1,LdBPK_090800.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_120190.1,LdBPK_130330.1,LdBPK_130990.1,LdBPK_131410.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_161220.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_190090.1,LdBPK_190190.1,LdBPK_190200.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_212130.1,LdBPK_212240.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_220440.1,LdBPK_230050.1,LdBPK_230060.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_250990.1,LdBPK_251210.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_251460.1,LdBPK_251790.1,LdBPK_252220.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281050.1,LdBPK_281310.1,LdBPK_281660.1,LdBPK_282610.1,LdBPK_282750.1,LdBPK_282950.1,LdBPK_283000.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_312350.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_323110.1,LdBPK_323320.1,LdBPK_330360.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340150.1,LdBPK_340900.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_342730.1,LdBPK_343280.1,LdBPK_350240.1,LdBPK_350370.1,LdBPK_351030.1,LdBPK_351890.1,LdBPK_353670.1,LdBPK_353840.1,LdBPK_354950.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_361730.1,LdBPK_362070.1,LdBPK_363220.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_364570.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	3.5	1.41	2.36	6.59020405159e-07	2.48780202948e-05	9.9512081179e-05
GO:0043226	organelle	3144	103	LdBPK_020230.1,LdBPK_040680.1,LdBPK_040750.1,LdBPK_060120.1,LdBPK_081290.1,LdBPK_090800.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_120190.1,LdBPK_130330.1,LdBPK_130990.1,LdBPK_131410.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_161220.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_190090.1,LdBPK_190190.1,LdBPK_190200.1,LdBPK_191200.1,LdBPK_210770.1,LdBPK_211300.1,LdBPK_212130.1,LdBPK_212240.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_220440.1,LdBPK_230050.1,LdBPK_230060.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_250990.1,LdBPK_251210.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_251460.1,LdBPK_251790.1,LdBPK_252220.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281050.1,LdBPK_281310.1,LdBPK_281660.1,LdBPK_282610.1,LdBPK_282750.1,LdBPK_282950.1,LdBPK_283000.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303560.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_312350.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_323110.1,LdBPK_323320.1,LdBPK_330360.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340150.1,LdBPK_340900.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_342730.1,LdBPK_343280.1,LdBPK_350240.1,LdBPK_350370.1,LdBPK_351030.1,LdBPK_351890.1,LdBPK_353670.1,LdBPK_353840.1,LdBPK_354950.1,LdBPK_360210.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_361730.1,LdBPK_362070.1,LdBPK_363220.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_364570.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	3.3	1.34	2.2	6.71997441225e-06	0.00020294322725	0.00101471613625
GO:0000502	proteasome complex	36	7	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_361730.1,LdBPK_364570.1,	19.4	7.93	10.04	2.12416135912e-05	0.000534580608711	0.00320748365227
GO:1905369	endopeptidase complex	40	7	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_361730.1,LdBPK_364570.1,	17.5	7.14	8.81	4.37002239739e-05	0.000942676260009	0.00659873382006
GO:1905368	peptidase complex	43	7	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_361730.1,LdBPK_364570.1,	16.3	6.64	8.08	7.10243775353e-05	0.00131815520354	0.0107246810078
GO:0005622	intracellular anatomical structure	3872	116	LdBPK_010790.1,LdBPK_020230.1,LdBPK_030520.1,LdBPK_040680.1,LdBPK_040750.1,LdBPK_060120.1,LdBPK_081290.1,LdBPK_090800.1,LdBPK_091130.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_110970.1,LdBPK_111180.1,LdBPK_120190.1,LdBPK_130330.1,LdBPK_130990.1,LdBPK_131410.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_161220.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_190090.1,LdBPK_190190.1,LdBPK_190200.1,LdBPK_191200.1,LdBPK_210770.1,LdBPK_210960.1,LdBPK_211300.1,LdBPK_212130.1,LdBPK_212240.1,LdBPK_220004.1,LdBPK_220310.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_230050.1,LdBPK_230060.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_250990.1,LdBPK_251210.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_251460.1,LdBPK_251790.1,LdBPK_252220.1,LdBPK_261610.1,LdBPK_261620.1,LdBPK_270130.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281050.1,LdBPK_281310.1,LdBPK_281660.1,LdBPK_282610.1,LdBPK_282750.1,LdBPK_282950.1,LdBPK_283000.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_291920.1,LdBPK_292480.1,LdBPK_300710.1,LdBPK_303560.1,LdBPK_303650.1,LdBPK_303710.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_312350.1,LdBPK_312700.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_323110.1,LdBPK_323230.1,LdBPK_323320.1,LdBPK_330360.1,LdBPK_333300.1,LdBPK_333380.1,LdBPK_340150.1,LdBPK_340850.1,LdBPK_340900.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_342730.1,LdBPK_343280.1,LdBPK_350240.1,LdBPK_350370.1,LdBPK_351030.1,LdBPK_351890.1,LdBPK_353670.1,LdBPK_353840.1,LdBPK_353900.1,LdBPK_354950.1,LdBPK_360210.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_361730.1,LdBPK_362070.1,LdBPK_362380.1,LdBPK_362480.1,LdBPK_363220.1,LdBPK_363550.1,LdBPK_363560.1,LdBPK_364100.1,LdBPK_364570.1,LdBPK_365238.1,LdBPK_365350.1,LdBPK_366680.1,	3.0	1.22	2.14	7.85655419329e-05	0.00131815520354	0.0118633968319
GO:0032991	protein-containing complex	735	34	LdBPK_010790.1,LdBPK_030520.1,LdBPK_100920.1,LdBPK_101070.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_151530.1,LdBPK_160610.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220310.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_241700.1,LdBPK_242140.1,LdBPK_250990.1,LdBPK_251210.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_251460.1,LdBPK_270130.1,LdBPK_282610.1,LdBPK_320240.1,LdBPK_320460.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_343460.1,LdBPK_361310.1,LdBPK_361730.1,LdBPK_363220.1,LdBPK_364570.1,LdBPK_365238.1,LdBPK_365350.1,	4.6	1.89	2.21	0.000146899876641	0.00221818813728	0.0221818813728
