Species 1,Species 2,Dist
Australia,Australia(2),0,0005847954
Australia,Australia(3),0,0000000000
Australia(2),Australia(3),0,0005837712
Australia,Australia(4),0,0005878895
Australia(2),Australia(4),0,0000000000
Australia(3),Australia(4),0,0005854802
Australia,Australia(5),0,0005837712
Australia(2),Australia(5),0,0011655017
Australia(3),Australia(5),0,0005837712
Australia(4),Australia(5),0,0011716467
Australia,Australia(6),0,0000000000
Australia(2),Australia(6),0,0005837712
Australia(3),Australia(6),0,0000000000
Australia(4),Australia(6),0,0005868545
Australia(5),Australia(6),0,0005827506
Australia,Australia(7),0,0000000000
Australia(2),Australia(7),0,0005824112
Australia(3),Australia(7),0,0000000000
Australia(4),Australia(7),0,0005854802
Australia(5),Australia(7),0,0005813954
Australia(6),Australia(7),0,0000000000
Australia,Australia(8),0,0000000000
Australia(2),Australia(8),0,0005824112
Australia(3),Australia(8),0,0000000000
Australia(4),Australia(8),0,0005854802
Australia(5),Australia(8),0,0005813954
Australia(6),Australia(8),0,0000000000
Australia(7),Australia(8),0,0000000000
Australia,Australia(9),0,0011682248
Australia(2),Australia(9),0,0017492729
Australia(3),Australia(9),0,0011682248
Australia(4),Australia(9),0,0017585012
Australia(5),Australia(9),0,0017462183
Australia(6),Australia(9),0,0011661813
Australia(7),Australia(9),0,0011634677
Australia(8),Australia(9),0,0011634677
Australia,Australia(10),0,0011682248
Australia(2),Australia(10),0,0017492729
Australia(3),Australia(10),0,0011682248
Australia(4),Australia(10),0,0017554143
Australia(5),Australia(10),0,0017462183
Australia(6),Australia(10),0,0011661813
Australia(7),Australia(10),0,0011634677
Australia(8),Australia(10),0,0011634677
Australia(9),Australia(10),0,0023296489
Australia,Australia(11),0,0023394412
Australia(2),Australia(11),0,0029191186
Australia(3),Australia(11),0,0023394412
Australia(4),Australia(11),0,0029345379
Australia(5),Australia(11),0,0029140148
Australia(6),Australia(11),0,0023353437
Australia(7),Australia(11),0,0023299026
Australia(8),Australia(11),0,0023299026
Australia(9),Australia(11),0,0034988102
Australia(10),Australia(11),0,0034988102
Australia,Australia(12),0,0029431748
Australia(2),Australia(12),0,0035193327
Australia(3),Australia(12),0,0029310973
Australia(4),Australia(12),0,0035172696
Australia(5),Australia(12),0,0035193327
Australia(6),Australia(12),0,0029379866
Australia(7),Australia(12),0,0029310973
Australia(8),Australia(12),0,0029310973
Australia(9),Australia(12),0,0041082609
Australia(10),Australia(12),0,0041034443
Australia(11),Australia(12),0,0052889738
Australia,Australia(13),0,0023512146
Australia(2),Australia(13),0,0029284344
Australia(3),Australia(13),0,0023415799
Australia(4),Australia(13),0,0029318687
Australia(5),Australia(13),0,0029284344
Australia(6),Australia(13),0,0023470757
Australia(7),Australia(13),0,0023415799
Australia(8),Australia(13),0,0023415799
Australia(9),Australia(13),0,0035159785
Australia(10),Australia(13),0,0035159785
Australia(11),Australia(13),0,0046944277
Australia(12),Australia(13),0,0052840504
Australia,Australia(14),0,0005836860
Australia(2),Australia(14),0,0011677982
Australia(3),Australia(14),0,0005850520
Australia(4),Australia(14),0,0011739676
Australia(5),Australia(14),0,0011657562
Australia(6),Australia(14),0,0005826657
Australia(7),Australia(14),0,0005826657
Australia(8),Australia(14),0,0005826657
Australia(9),Australia(14),0,0017495274
Australia(10),Australia(14),0,0017495274
Australia(11),Australia(14),0,0029198837
Australia(12),Australia(14),0,0035263106
Australia(13),Australia(14),0,0029348790
Australia,Australia(15),0,0011702755
Australia(2),Australia(15),0,0017492729
Australia(3),Australia(15),0,0011682248
Australia(4),Australia(15),0,0017554143
Australia(5),Australia(15),0,0017492729
Australia(6),Australia(15),0,0011682248
Australia(7),Australia(15),0,0011655017
Australia(8),Australia(15),0,0011655017
Australia(9),Australia(15),0,0023337265
Australia(10),Australia(15),0,0023296489
Australia(11),Australia(15),0,0035049417
Australia(12),Australia(15),0,0041034443
Australia(13),Australia(15),0,0035159785
Australia(14),Australia(15),0,0017525936
Australia,Australia(16),0,0005837712
Australia(2),Australia(16),0,0011655017
Australia(3),Australia(16),0,0005837712
Australia(4),Australia(16),0,0011716467
Australia(5),Australia(16),0,0011634677
Australia(6),Australia(16),0,0005827506
Australia(7),Australia(16),0,0005813954
Australia(8),Australia(16),0,0005813954
Australia(9),Australia(16),0,0017462183
Australia(10),Australia(16),0,0017462183
Australia(11),Australia(16),0,0029140148
Australia(12),Australia(16),0,0035193327
Australia(13),Australia(16),0,0029284344
Australia(14),Australia(16),0,0011657562
Australia(15),Australia(16),0,0017492729
Australia,Australia(17),0,0011682248
Australia(2),Australia(17),0,0017492729
Australia(3),Australia(17),0,0011682248
Australia(4),Australia(17),0,0017554143
Australia(5),Australia(17),0,0017462183
Australia(6),Australia(17),0,0011661813
Australia(7),Australia(17),0,0011634677
Australia(8),Australia(17),0,0011634677
Australia(9),Australia(17),0,0023296489
Australia(10),Australia(17),0,0023255856
Australia(11),Australia(17),0,0034988102
Australia(12),Australia(17),0,0041034443
Australia(13),Australia(17),0,0035159785
Australia(14),Australia(17),0,0017495274
Australia(15),Australia(17),0,0023296489
Australia(16),Australia(17),0,0017462183
Australia,Australia(18),0,0153893318
Australia(2),Australia(18),0,0159242728
Australia(3),Australia(18),0,0147682638
Australia(4),Australia(18),0,0153950847
Australia(5),Australia(18),0,0159242728
Australia(6),Australia(18),0,0153620519
Australia(7),Australia(18),0,0153258287
Australia(8),Australia(18),0,0153258287
Australia(9),Australia(18),0,0165234340
Australia(10),Australia(18),0,0165039539
Australia(11),Australia(18),0,0177277668
Australia(12),Australia(18),0,0177869713
Australia(13),Australia(18),0,0171880776
Australia(14),Australia(18),0,0159563661
Australia(15),Australia(18),0,0165039539
Australia(16),Australia(18),0,0159242728
Australia(17),Australia(18),0,0165039539
Australia,Australia(19),0,0023380738
Australia(2),Australia(19),0,0029208238
Australia(3),Australia(19),0,0023408103
Australia(4),Australia(19),0,0029362612
Australia(5),Australia(19),0,0029157141
Australia(6),Australia(19),0,0023339810
Australia(7),Australia(19),0,0023312605
Australia(8),Australia(19),0,0023312605
Australia(9),Australia(19),0,0035008516
Australia(10),Australia(19),0,0035008516
Australia(11),Australia(19),0,0046739484
Australia(12),Australia(19),0,0052920838
Australia(13),Australia(19),0,0046971840
Australia(14),Australia(19),0,0029181795
Australia(15),Australia(19),0,0035069904
Australia(16),Australia(19),0,0029157141
Australia(17),Australia(19),0,0035008516
Australia(18),Australia(19),0,0177382497
Australia,Australia(20),0,0005837712
Australia(2),Australia(20),0,0011655017
Australia(3),Australia(20),0,0005837712
Australia(4),Australia(20),0,0011695912
Australia(5),Australia(20),0,0011634677
Australia(6),Australia(20),0,0005827506
Australia(7),Australia(20),0,0005813954
Australia(8),Australia(20),0,0005813954
Australia(9),Australia(20),0,0017462183
Australia(10),Australia(20),0,0017431743
Australia(11),Australia(20),0,0029140148
Australia(12),Australia(20),0,0035152090
Australia(13),Australia(20),0,0029284344
Australia(14),Australia(20),0,0011657562
Australia(15),Australia(20),0,0017462183
Australia(16),Australia(20),0,0011634677
Australia(17),Australia(20),0,0017431743
Australia(18),Australia(20),0,0159055098
Australia(19),Australia(20),0,0029157141
Australia,Australia(21),0,0005836860
Australia(2),Australia(21),0,0011650771
Australia(3),Australia(21),0,0005836860
Australia(4),Australia(21),0,0011712176
Australia(5),Australia(21),0,0011630445
Australia(6),Australia(21),0,0005826657
Australia(7),Australia(21),0,0005813109
Australia(8),Australia(21),0,0005813109
Australia(9),Australia(21),0,0017454558
Australia(10),Australia(21),0,0017454558
Australia(11),Australia(21),0,0029130790
Australia(12),Australia(21),0,0035180401
Australia(13),Australia(21),0,0029280043
Australia(14),Australia(21),0,0011658413
Australia(15),Australia(21),0,0017485077
Australia(16),Australia(21),0,0011630445
Australia(17),Australia(21),0,0017454558
Australia(18),Australia(21),0,0159187333
Australia(19),Australia(21),0,0029147772
Australia(20),Australia(21),0,0011630445
Australia,Australia(22),0,0159525005
Australia(2),Australia(22),0,0165136882
Australia(3),Australia(22),0,0153587056
Australia(4),Australia(22),0,0160058912
Australia(5),Australia(22),0,0164845196
Australia(6),Australia(22),0,0159242728
Australia(7),Australia(22),0,0158867909
Australia(8),Australia(22),0,0158867909
Australia(9),Australia(22),0,0170829638
Australia(10),Australia(22),0,0170829638
Australia(11),Australia(22),0,0182858391
Australia(12),Australia(22),0,0184013891
Australia(13),Australia(22),0,0177803054
Australia(14),Australia(22),0,0165175357
Australia(15),Australia(22),0,0171132087
Australia(16),Australia(22),0,0164845196
Australia(17),Australia(22),0,0170829638
Australia(18),Australia(22),0,0005827506
Australia(19),Australia(22),0,0182966327
Australia(20),Australia(22),0,0164845196
Australia(21),Australia(22),0,0164786492
Australia,Australia(23),0,0005836860
Australia(2),Australia(23),0,0011650771
Australia(3),Australia(23),0,0005836860
Australia(4),Australia(23),0,0011691636
Australia(5),Australia(23),0,0011630445
Australia(6),Australia(23),0,0005826657
Australia(7),Australia(23),0,0005813109
Australia(8),Australia(23),0,0005813109
Australia(9),Australia(23),0,0017454558
Australia(10),Australia(23),0,0017424145
Australia(11),Australia(23),0,0029130790
Australia(12),Australia(23),0,0035139194
Australia(13),Australia(23),0,0029280043
Australia(14),Australia(23),0,0011658413
Australia(15),Australia(23),0,0017454558
Australia(16),Australia(23),0,0011630445
Australia(17),Australia(23),0,0017424145
Australia(18),Australia(23),0,0158999834
Australia(19),Australia(23),0,0029147772
Australia(20),Australia(23),0,0011610191
Australia(21),Australia(23),0,0011631292
Australia(22),Australia(23),0,0164786492
Australia,Australia(24),0,0000000000
Australia(2),Australia(24),0,0005824112
Australia(3),Australia(24),0,0000000000
Australia(4),Australia(24),0,0005854802
Australia(5),Australia(24),0,0005813954
Australia(6),Australia(24),0,0000000000
Australia(7),Australia(24),0,0000000000
Australia(8),Australia(24),0,0000000000
Australia(9),Australia(24),0,0011634677
Australia(10),Australia(24),0,0011634677
Australia(11),Australia(24),0,0023299026
Australia(12),Australia(24),0,0029310973
Australia(13),Australia(24),0,0023415799
Australia(14),Australia(24),0,0005826657
Australia(15),Australia(24),0,0011655017
Australia(16),Australia(24),0,0005813954
Australia(17),Australia(24),0,0011634677
Australia(18),Australia(24),0,0153258287
Australia(19),Australia(24),0,0023312605
Australia(20),Australia(24),0,0005813954
