Ldon gene	Lbraz gene	% identity	length	mismatch
LdBPK_020060.1	LBRM2903_020005700	67.7	235	76
LdBPK_030840.1	LBRM2903_030013600	67.7	1558	437
LdBPK_070070.1	LBRM2903_070010600	67.7	643	172
LdBPK_071240.1	LBRM2903_070020500	67.7	452	123
LdBPK_151180.1	LBRM2903_150018500	67.7	2795	735
LdBPK_201120.1	LBRM2903_200067300	67.7	1960	590
LdBPK_231760.1	LBRM2903_230026900	67.7	130	42
LdBPK_241200.1	LBRM2903_240018000	67.7	1191	354
LdBPK_261050.1	LBRM2903_260015900	67.7	461	148
LdBPK_310400.1	LBRM2903_310011500	67.7	1405	425
LdBPK_044300.1	LBRM2903_200039000	67.7	248	79
LdBPK_342820.1	LBRM2903_200037700	67.7	415	133
LdBPK_343040.1	LBRM2903_200041800	67.7	694	205
LdBPK_354450.1	LBRM2903_340053700	67.7	93	28
LdBPK_366120.1	LBRM2903_350072900	67.7	711	227
LdBPK_070630.1	LBRM2903_070012800	67.6	1375	430
LdBPK_130720.1	LBRM2903_130012200	67.6	1266	367
LdBPK_171090.1	LBRM2903_170017900	67.6	3705	1056
LdBPK_190480.1	LBRM2903_190012700	67.6	262	79
LdBPK_221100.1	LBRM2903_220017400	67.6	392	122
LdBPK_281770.1	LBRM2903_280024400	67.6	1376	404
LdBPK_282060.1	LBRM2903_280027500	67.6	678	215
LdBPK_303800.1	LBRM2903_300045200	67.6	222	72
LdBPK_322100.1	LBRM2903_320028300	67.6	148	48
LdBPK_330100.1	LBRM2903_330005900	67.6	330	107
LdBPK_353470.1	LBRM2903_340042100	67.6	188	61
LdBPK_020480.1	LBRM2903_020010700	67.5	163	53
LdBPK_040510.1	LBRM2903_040010800	67.5	953	267
LdBPK_060610.1	LBRM2903_060011700	67.5	1513	469
LdBPK_091371.1	LBRM2903_090020400	67.5	345	110
LdBPK_141230.1	LBRM2903_140017600	67.5	348	77
LdBPK_230400.1	LBRM2903_230009600	67.5	366	108
LdBPK_281380.1	LBRM2903_280020000	67.5	446	138
LdBPK_291750.1	LBRM2903_290024200	67.5	378	121
LdBPK_302790.1	LBRM2903_300034000	67.5	332	108
LdBPK_330850.1	LBRM2903_330014600	67.5	1626	525
LdBPK_343640.1	LBRM2903_200048300	67.5	228	74
LdBPK_351330.1	LBRM2903_340018800	67.5	1703	536
LdBPK_360590.1	LBRM2903_350011800	67.5	317	103
LdBPK_362400.1	LBRM2903_350032000	67.5	465	146
LdBPK_040690.1	LBRM2903_040013100	67.4	767	173
LdBPK_091270.1	LBRM2903_090019200	67.4	420	112
LdBPK_171160.1	LBRM2903_170018600	67.4	800	222
LdBPK_200350.1	LBRM2903_200059100	67.4	482	142
LdBPK_240800.1	LBRM2903_240013900	67.4	291	85
LdBPK_242010.1	LBRM2903_240027800	67.4	715	195
LdBPK_250360.1	LBRM2903_250008800	67.4	752	234
LdBPK_271910.1	LBRM2903_270028300	67.4	1027	303
LdBPK_302310.1	LBRM2903_300028900	67.4	1311	419
LdBPK_310880.1	LBRM2903_310016800	67.4	334	106
LdBPK_321640.1	LBRM2903_320023600	67.4	470	144
LdBPK_323610.1	LBRM2903_320045400	67.4	135	43
LdBPK_332360.1	LBRM2903_330032800	67.4	626	200
LdBPK_333090.1	LBRM2903_330040200	67.4	1541	398
LdBPK_360400.1	LBRM2903_350010000	67.4	454	145
LdBPK_366430.1	LBRM2903_350076400	67.4	340	110
LdBPK_090730.1	LBRM2903_090012500	67.3	199	65
LdBPK_120110.1	LBRM2903_120006200	67.3	900	280
LdBPK_131150.1	LBRM2903_130016600	67.3	150	44
LdBPK_150680.1	LBRM2903_150010600	67.3	712	211
LdBPK_190880.1	LBRM2903_190018100	67.3	868	258
LdBPK_261430.1	LBRM2903_260019800	67.3	1398	429
LdBPK_270600.1	LBRM2903_270014000	67.3	110	36
LdBPK_271930.1	LBRM2903_270029000	67.3	245	79
LdBPK_312850.1	LBRM2903_310040900	67.3	593	189
LdBPK_330940.1	LBRM2903_330015600	67.3	581	189
LdBPK_350560.1	LBRM2903_340010600	67.3	1111	314
LdBPK_351830.1	LBRM2903_340023800	67.3	147	47
LdBPK_361150.1	LBRM2903_350018000	67.3	150	49
LdBPK_010070.1	LBRM2903_010005600	67.2	609	169
LdBPK_040370.1	LBRM2903_040008900	67.2	238	70
LdBPK_050370.1	LBRM2903_050008700	67.2	338	98
LdBPK_050610.1	LBRM2903_050011400	67.2	1004	293
LdBPK_060200.1	LBRM2903_060007200	67.2	500	152
LdBPK_120450.1	LBRM2903_120010300	67.2	317	103
LdBPK_170630.1	LBRM2903_170011700	67.2	1227	361
LdBPK_262070.1	LBRM2903_260024600	67.2	1361	434
LdBPK_270280.1	LBRM2903_270007900	67.2	1072	336
LdBPK_282120.1	LBRM2903_280028000	67.2	781	226
LdBPK_292960.1	LBRM2903_290036900	67.2	122	40
LdBPK_312930.1	LBRM2903_310041800	67.2	595	195
LdBPK_322500.1	LBRM2903_320033400	67.2	549	179
LdBPK_323680.1	LBRM2903_320046600	67.2	638	207
LdBPK_331290.1	LBRM2903_330019400	67.2	647	173
LdBPK_352870.1	LBRM2903_340035800	67.2	521	170
LdBPK_366500.1	LBRM2903_350077100	67.2	741	239
LdBPK_366510.1	LBRM2903_350077200	67.2	296	93
LdBPK_010480.1	LBRM2903_010010100	67.1	981	273
LdBPK_050290.1	LBRM2903_050007800	67.1	173	57
LdBPK_050410.1	LBRM2903_050009300	67.1	925	279
LdBPK_090210.1	LBRM2903_090006900	67.1	73	24
LdBPK_130500.1	LBRM2903_130009600	67.1	277	88
LdBPK_190520.1	LBRM2903_190013100	67.1	486	160
LdBPK_190610.1	LBRM2903_190015000	67.1	82	27
LdBPK_241040.1	LBRM2903_240016300	67.1	1016	298
LdBPK_302940.1	LBRM2903_300035700	67.1	456	144
LdBPK_310140.1	LBRM2903_310009000	67.1	823	257
LdBPK_310951.1	LBRM2903_310019000	67.1	249	82
LdBPK_330620.1	LBRM2903_330011600	67.1	671	220
LdBPK_332490.1	LBRM2903_330034000	67.1	1381	426
LdBPK_350570.1	LBRM2903_340010700	67.1	2133	677
LdBPK_351530.1	LBRM2903_340020700	67.1	377	115
LdBPK_020450.1	LBRM2903_020010400	67	200	62
LdBPK_100150.1	LBRM2903_100006600	67	587	185
LdBPK_151040.1	LBRM2903_150013500	67	712	209
LdBPK_190380.1	LBRM2903_190011600	67	2035	630
LdBPK_190550.1	LBRM2903_190014600	67	1391	436
LdBPK_261090.1	LBRM2903_260016300	67	4208	1222
LdBPK_290430.1	LBRM2903_290010100	67	412	128
LdBPK_302340.1	LBRM2903_300029200	67	348	114
LdBPK_310710.1	LBRM2903_310015800	67	282	78
LdBPK_311270.1	LBRM2903_310023000	67	1090	337
LdBPK_322000.1	LBRM2903_320027300	67	1228	392
LdBPK_333000.1	LBRM2903_330039300	67	382	126
LdBPK_340580.1	LBRM2903_200011600	67	1938	563
LdBPK_341830.1	LBRM2903_200026200	67	1881	588
LdBPK_342150.1	LBRM2903_200029500	67	364	117
LdBPK_342270.1	LBRM2903_200030700	67	388	127
LdBPK_354030.1	LBRM2903_340049000	67	792	240
LdBPK_364410.1	LBRM2903_350055100	67	825	255
LdBPK_364770.1	LBRM2903_350058700	67	1124	364
